S No.	Player Name	Exact Rating	BASE PRICE	Role
66	Krunal Pandya	8.88	1.5CR	ALL ROUNDER
67	Liam Livingston	6.92	50 LAKHS	ALL ROUNDER
68	Cameron Green	7.05	1CR	ALL ROUNDER
69	Hayley Matthews 	9.74	2CR	ALL ROUNDER
70	Marcus Stoinis	7.92	1CR	ALL ROUNDER
71	Kieron Pollard 	9.66	2CR	ALL ROUNDER
72	Vijay Shankar	7.02	1CR	ALL ROUNDER
73	Georgia Wareham	6.85	50 LAKHS	ALL ROUNDER
74	Dwayne Bravo	9.3	2CR	ALL ROUNDER
75	Deepti Sharma 	9.01	2CR	ALL ROUNDER
76	Matt Henry	6.56	50 LAKHS	BOWLER
77	Lauren Bell	8.65	1.5CR	BOWLER
78	Trent Boult 	9.31	2CR	BOWLER
79	Prasidh Krishna	8.95	1.5CR	BOWLER
80	Jofra Archer	7.39	1CR	BOWLER
81	Moen Ali	7.58	1CR	BOWLER
82	Varun Chakaravarthy	9.05	2CR	BOWLER
83	Pat Cummins 	8.48	1.5CR	BOWLER
84	Mitchell McClenaghan	8.27	1.5CR	BOWLER
85	Mohammed Shami 	9.75	2CR	BOWLER
86	Mitchell Starc	8.75	1.5CR	BOWLER
87	Kate Cross	5.56	30 LAKHS	BOWLER
88	Imran Tahir	8.34	1.5CR	BOWLER
89	Tom Curran	4.45	20 LAKHS	BOWLER
90	Kagiso Rabada	8.27	1.5CR	BOWLER
91	Sayali Satghare	4.75	20 LAKHS	BOWLER
92	Lasith Malinga	9.77	2CR	BOWLER
93	Umesh Yadav	8.88	1.5CR	BOWLER
94	Andrew Tye	7.48	1CR	BOWLER
95	Deepak Chahar	8.08	1.5CR	BOWLER
96	Ravichandran Ashwin	8.28	1.5CR	BOWLER
97	Umran Malik	5.95	30 LAKHS	BOWLER
98	Shreyanka Patil	7.45	1CR	BOWLER
99	Bhuvneshwar Kumar	9.88	2CR	BOWLER
100	Noor Ahmad	7.42	1CR	BOWLER
101	Jayden Seales	4.86	20 LAKHS	BOWLER
102	Kuldeep Yadav 	9.15	2CR	BOWLER
103	Anrich Nortje	7.1	1CR	BOWLER
104	Amit Mishra	7.96	1CR	BOWLER
105	Rashid Khan	9.47	2CR	BOWLER
106	Mohit Sharma	7.78	1CR	BOWLER
107	Ravi Bishnoi	7.85	1CR	BOWLER
108	Jasprit Bumrah 	9.54	2CR	BOWLER
109	Khaleel Ahmed	6.95	50 LAKHS	BOWLER
110	Harshal Patel 	8.32	1.5CR	BOWLER
111	Yuzvendra Chahal 	9.88	2CR	BOWLER
112	Piyush Chawla	8.42	1.5CR	BOWLER
113	Arshdeep Singh	9.72	2CR	BOWLER
114	Shikha Pandey 	4.27	20 LAKHS	BOWLER
115	Jos Buttler 	9.57	2CR	WICKETKEEPER
116	Heinrich Klaasen	7.93	1CR	WICKETKEEPER
117	Kusal Mendis	5.65	30 LAKHS	WICKETKEEPER
118	Dinesh Karthik	8.58	1.5CR	WICKETKEEPER
119	Rishabh Pant 	9.14	2CR	WICKETKEEPER
120	Quinton De Cock	8.55	1.5CR	WICKETKEEPER
121	Prabhsimran Singh	7.45	1CR	WICKETKEEPER
122	Nicolas Pooran	8.04	1.5CR	WICKETKEEPER
123	MS Dhoni 	9.96	2CR	WICKETKEEPER
124	Jitesh Sharma	8.45	1.5CR	WICKETKEEPER
125	Richa Ghosh	7.64	1CR	WICKETKEEPER
126	KL Rahul 	9.58	2CR	WICKETKEEPER
127	Phil Salt	7.94	1CR	WICKETKEEPER
128	Alyssa Healy	8.75	1.5CR	WICKETKEEPER
129	Wriddhiman Saha	7.71	1CR	WICKETKEEPER
130	Ishan Kishan	8.22	1.5CR	WICKETKEEPER
131	Sanju Samson 	9.32	2CR	WICKETKEEPER
132	Kiran Navgire	5.58	30 LAKHS	UNCAPPED BATSMEN
133	Yash Dhull 	4.65	20 LAKHS	UNCAPPED BATSMEN
134	Sameer Rizvi 	6.65	50 LAKHS	UNCAPPED BATSMEN
135	Ashutosh Sharma 	6.58	50 LAKHS	UNCAPPED BATSMEN
136	Vaibhav Suryavanshi	8.53	1.5CR	UNCAPPED BATSMEN
137	Priyansh Arya	6.48	50 LAKHS	UNCAPPED BATSMEN
138	Prashant Veer	5.53	30 LAKHS	UNCAPPED BATSMEN
139	Angkrish Raghuvanshi 	6.77	50 LAKHS	UNCAPPED BATSMEN
140	Rahul Tewatia	7.06	1CR	UNCAPPED BATSMEN
141	R. Sai Kishore	7.52	1CR	UNCAPPED BOWLER
142	Vipraj Nigam 	5.45	30 LAKHS	UNCAPPED BOWLER
143	Yash Dayal	7.58	1CR	UNCAPPED BOWLER
144	Vaibhav Arora	5.75	30 LAKHS	UNCAPPED BOWLER
145	K.L. Shrijith 	4.94	20 LAKHS	UNCAPPED WICKETKEEPER
146	Urvil Patel 	6.25	50 LAKHS	UNCAPPED WICKETKEEPER
147	Kartik Sharma 	5.22	30 LAKHS	UNCAPPED WICKETKEEPER
148	Harvik Desai 	4.37	20 LAKHS	UNCAPPED WICKETKEEPER
149	Abishek Porel	6.27	50 LAKHS	UNCAPPED WICKETKEEPER
150	Anushka Sharma	4.95	20 LAKHS	UNCAPPED ALL ROUNDER
